datafile,label,start_vid,start_t,end_vid,end_t
cb46fd46_7,experiment,218,0,234,120
cb46fd46_7,experiment,370,0,450,120
cb46fd46_7,sleep,569,0,632,120
cb46fd46_7,sleep,638,0,652,120
cb46fd46_7,sleep,660,0,672,120
cb46fd46_7,smartphone,160,0,173,120
cb46fd46_7,smartphone,288,0,295,120
cb46fd46_7,smartphone,319,0,343,120
cb46fd46_7,computer,458,0,503,120
cb46fd46_7,computer,509,0,516,120
cb46fd46_7,computer,522,0,537,120
cb46fd46_7,talk,45,0,51,120
cb46fd46_7,talk,62,0,151,120
cb46fd46_7,talk,111,0,151,120
