filename,hour,minute,second,microsecond,merge_day
cb46fd46_2_0007.avi,10,18,23,512000,1
cb46fd46_2_0008.avi,10,20,23,732000,1
cb46fd46_2_0009.avi,10,22,23,284000,1
cb46fd46_2_0010.avi,10,24,23,371000,1
cb46fd46_2_0011.avi,10,26,24,25000,1
cb46fd46_2_0012.avi,10,28,23,525000,1
cb46fd46_2_0013.avi,10,30,23,946000,1
cb46fd46_2_0014.avi,10,32,24,266000,1
cb46fd46_2_0015.avi,10,34,23,218000,1
cb46fd46_2_0016.avi,10,36,23,971000,1
cb46fd46_2_0017.avi,10,38,25,426000,1
cb46fd46_2_0018.avi,10,40,24,893000,1
cb46fd46_2_0019.avi,10,42,23,912000,1
cb46fd46_2_0020.avi,10,44,23,264000,1
cb46fd46_2_0021.avi,10,46,23,351000,1
cb46fd46_2_0022.avi,10,48,23,404000,1
cb46fd46_2_0023.avi,10,50,23,435000,1
cb46fd46_2_0024.avi,10,52,23,389000,1
cb46fd46_2_0025.avi,10,54,23,443000,1
cb46fd46_2_0026.avi,10,56,23,351000,1
cb46fd46_2_0027.avi,10,58,25,73000,1
cb46fd46_2_0028.avi,11,0,24,292000,1
cb46fd46_2_0029.avi,11,2,24,837000,1
cb46fd46_2_0031.avi,11,6,24,343000,1
cb46fd46_2_0032.avi,11,8,24,128000,1
cb46fd46_2_0033.avi,11,10,24,983000,1
cb46fd46_2_0034.avi,11,12,23,215000,1
cb46fd46_2_0035.avi,11,14,23,502000,1
cb46fd46_2_0036.avi,11,16,23,722000,1
cb46fd46_2_0037.avi,11,18,24,876000,1
cb46fd46_2_0038.avi,11,20,23,336000,1
cb46fd46_2_0039.avi,11,22,23,355000,1
cb46fd46_2_0040.avi,11,24,23,788000,1
cb46fd46_2_0041.avi,11,26,23,308000,1
cb46fd46_2_0042.avi,11,28,23,561000,1
cb46fd46_2_0043.avi,11,30,24,949000,1
cb46fd46_2_0044.avi,11,32,23,568000,1
cb46fd46_2_0045.avi,11,34,23,502000,1
cb46fd46_2_0046.avi,11,36,24,822000,1
cb46fd46_2_0047.avi,11,38,25,242000,1
cb46fd46_2_0048.avi,11,40,23,895000,1
cb46fd46_2_0049.avi,11,42,24,115000,1
cb46fd46_2_0050.avi,11,44,24,703000,1
cb46fd46_2_0051.avi,11,46,23,868000,1
cb46fd46_2_0052.avi,11,48,23,788000,1
cb46fd46_2_0053.avi,11,50,23,673000,1
cb46fd46_2_0054.avi,11,52,24,127000,1
cb46fd46_2_0055.avi,11,54,24,715000,1
cb46fd46_2_0056.avi,11,56,23,980000,1
cb46fd46_2_0057.avi,11,58,23,766000,1
cb46fd46_2_0058.avi,12,0,23,987000,1
cb46fd46_2_0059.avi,12,2,23,72000,1
cb46fd46_2_0060.avi,12,4,23,960000,1
cb46fd46_2_0061.avi,12,6,23,878000,1
cb46fd46_2_0062.avi,12,8,23,112000,1
cb46fd46_2_0063.avi,12,10,23,432000,1
cb46fd46_2_0064.avi,12,12,24,920000,1
cb46fd46_2_0065.avi,12,14,25,407000,1
cb46fd46_2_0066.avi,12,16,24,26000,1
cb46fd46_2_0067.avi,12,18,23,558000,1
cb46fd46_2_0068.avi,12,20,23,611000,1
cb46fd46_2_0069.avi,12,22,24,399000,1
cb46fd46_2_0070.avi,12,24,24,19000,1
cb46fd46_2_0071.avi,12,26,23,471000,1
cb46fd46_2_0072.avi,12,28,24,759000,1
cb46fd46_2_0073.avi,12,30,24,293000,1
cb46fd46_2_0074.avi,12,32,23,145000,1
cb46fd46_2_0075.avi,12,34,23,231000,1
cb46fd46_2_0076.avi,12,36,22,984000,1
cb46fd46_2_0077.avi,12,38,23,271000,1
cb46fd46_2_0078.avi,12,40,23,504000,1
cb46fd46_2_0079.avi,12,42,28,395000,1
cb46fd46_2_0080.avi,12,44,23,810000,1
cb46fd46_2_0081.avi,12,46,35,708000,1
cb46fd46_2_0082.avi,12,48,25,51000,1
cb46fd46_2_0083.avi,12,50,23,669000,1
cb46fd46_2_0084.avi,12,52,23,103000,1
cb46fd46_2_0085.avi,12,55,9,502000,1
cb46fd46_2_0086.avi,12,57,9,662000,1
cb46fd46_2_0087.avi,12,59,10,115000,1
cb46fd46_2_0088.avi,13,1,9,835000,1
cb46fd46_2_0089.avi,13,3,10,150000,1
cb46fd46_2_0090.avi,13,5,14,541000,1
cb46fd46_2_0091.avi,13,7,10,289000,1
cb46fd46_2_0092.avi,13,9,11,911000,1
cb46fd46_2_0093.avi,13,11,9,562000,1
cb46fd46_2_0094.avi,13,13,9,795000,1
cb46fd46_2_0095.avi,13,15,10,850000,1
cb46fd46_2_0096.avi,13,17,13,772000,1
cb46fd46_2_0097.avi,13,19,9,888000,1
cb46fd46_2_0098.avi,13,21,10,108000,1
cb46fd46_2_0099.avi,13,23,9,394000,1
cb46fd46_2_0100.avi,13,25,9,326000,1
cb46fd46_2_0101.avi,13,27,10,181000,1
cb46fd46_2_0102.avi,13,29,9,199000,1
cb46fd46_2_0103.avi,13,31,10,154000,1
cb46fd46_2_0104.avi,13,33,10,73000,1
cb46fd46_2_0105.avi,13,35,10,8000,1
cb46fd46_2_0106.avi,13,37,12,63000,1
cb46fd46_2_0107.avi,13,39,10,214000,1
cb46fd46_2_0108.avi,13,41,9,467000,1
cb46fd46_2_0109.avi,13,43,13,290000,1
cb46fd46_2_0110.avi,13,45,14,245000,1
cb46fd46_2_0111.avi,13,47,14,78000,1
cb46fd46_2_0112.avi,13,49,9,526000,1
cb46fd46_2_0113.avi,13,51,9,947000,1
cb46fd46_2_0114.avi,13,53,9,633000,1
cb46fd46_2_0115.avi,13,55,10,603000,1
cb46fd46_2_0116.avi,13,57,12,188000,1
cb46fd46_2_0117.avi,13,59,9,172000,1
cb46fd46_2_0118.avi,14,1,12,395000,1
cb46fd46_2_0119.avi,14,3,9,812000,1
cb46fd46_2_0120.avi,14,5,11,401000,1
cb46fd46_2_0121.avi,14,7,11,559000,1
cb46fd46_2_0122.avi,14,9,12,721000,1
cb46fd46_2_0123.avi,14,11,11,781000,1
cb46fd46_2_0124.avi,14,13,10,291000,1
cb46fd46_2_0125.avi,14,15,9,979000,1
cb46fd46_2_0126.avi,14,17,15,870000,1
cb46fd46_2_0127.avi,14,19,10,903000,1
cb46fd46_2_0128.avi,14,21,13,87000,1
cb46fd46_2_0129.avi,14,23,9,236000,1
cb46fd46_2_0130.avi,14,25,10,908000,1
cb46fd46_2_0131.avi,14,27,9,576000,1
cb46fd46_2_0132.avi,14,29,9,230000,1
cb46fd46_2_0133.avi,14,31,10,774000,1
cb46fd46_2_0134.avi,14,33,9,117000,1
cb46fd46_2_0135.avi,14,35,9,218000,1
cb46fd46_2_0136.avi,14,37,9,457000,1
cb46fd46_2_0137.avi,14,39,10,911000,1
cb46fd46_2_0138.avi,14,41,9,947000,1
cb46fd46_2_0139.avi,14,43,16,938000,1
cb46fd46_2_0140.avi,14,45,10,520000,1
cb46fd46_2_0141.avi,14,47,9,969000,1
cb46fd46_2_0142.avi,14,49,9,355000,1
cb46fd46_2_0143.avi,14,51,9,909000,1
cb46fd46_2_0144.avi,14,53,9,275000,1
cb46fd46_2_0145.avi,14,55,12,44000,1
cb46fd46_2_0146.avi,14,57,13,532000,1
cb46fd46_2_0147.avi,14,59,9,149000,1
cb46fd46_2_0148.avi,15,1,10,35000,1
cb46fd46_2_0149.avi,15,3,9,954000,1
cb46fd46_2_0153.avi,15,11,9,834000,1
cb46fd46_2_0154.avi,15,13,9,621000,1
cb46fd46_2_0155.avi,15,15,10,54000,1
cb46fd46_2_0156.avi,15,17,9,840000,1
cb46fd46_2_0157.avi,15,19,9,560000,1
cb46fd46_2_0158.avi,15,21,9,546000,1
cb46fd46_2_0159.avi,15,23,9,733000,1
cb46fd46_2_0191.avi,16,27,9,283000,1
cb46fd46_2_0192.avi,16,29,9,268000,1
cb46fd46_2_0193.avi,16,31,8,988000,1
cb46fd46_2_0194.avi,16,33,9,220000,1
cb46fd46_2_0195.avi,16,35,9,473000,1
cb46fd46_2_0196.avi,16,37,9,393000,1
cb46fd46_3_0000.avi,9,11,29,112000,2
cb46fd46_3_0001.avi,9,13,49,288000,2
cb46fd46_3_0002.avi,9,15,49,388000,2
cb46fd46_4_0000.avi,10,29,7,610000,2
cb46fd46_4_0001.avi,10,30,11,554000,2
cb46fd46_4_0002.avi,10,32,10,760000,2
cb46fd46_4_0003.avi,10,34,10,893000,2
cb46fd46_4_0004.avi,10,36,11,26000,2
cb46fd46_4_0005.avi,10,38,11,90000,2
cb46fd46_4_0006.avi,10,40,12,224000,2
cb46fd46_4_0007.avi,10,42,11,357000,2
cb46fd46_4_0008.avi,10,44,12,467000,2
cb46fd46_4_0009.avi,10,46,10,568000,2
cb46fd46_4_0010.avi,10,48,12,701000,2
cb46fd46_4_0011.avi,10,50,11,859000,2
cb46fd46_4_0012.avi,10,52,10,959000,2
cb46fd46_4_0013.avi,10,54,12,93000,2
cb46fd46_4_0014.avi,10,56,13,193000,2
cb46fd46_4_0015.avi,10,58,13,326000,2
cb46fd46_4_0016.avi,11,0,14,423000,2
cb46fd46_4_0017.avi,11,2,10,524000,2
cb46fd46_4_0018.avi,11,4,10,658000,2
cb46fd46_4_0019.avi,11,6,11,758000,2
cb46fd46_4_0020.avi,11,8,11,891000,2
cb46fd46_4_0021.avi,11,10,13,24000,2
cb46fd46_4_0022.avi,11,12,11,87000,2
cb46fd46_4_0023.avi,11,14,11,221000,2
cb46fd46_4_0024.avi,11,16,12,321000,2
cb46fd46_4_0025.avi,11,18,10,455000,2
cb46fd46_4_0026.avi,11,20,10,588000,2
cb46fd46_4_0027.avi,11,22,12,652000,2
cb46fd46_4_0028.avi,11,24,10,786000,2
cb46fd46_4_0029.avi,11,26,10,885000,2
cb46fd46_4_0030.avi,11,28,12,18000,2
cb46fd46_4_0031.avi,11,30,11,151000,2
cb46fd46_4_0032.avi,11,32,11,252000,2
cb46fd46_4_0033.avi,11,34,12,352000,2
cb46fd46_4_0034.avi,11,36,10,485000,2
cb46fd46_4_0035.avi,11,38,10,585000,2
cb46fd46_4_0036.avi,11,40,10,785000,2
cb46fd46_4_0037.avi,11,42,10,884000,2
cb46fd46_4_0038.avi,11,44,11,982000,2
cb46fd46_4_0039.avi,11,46,11,83000,2
cb46fd46_4_0040.avi,11,48,11,216000,2
cb46fd46_4_0041.avi,11,50,10,349000,2
cb46fd46_4_0042.avi,11,52,10,449000,2
cb46fd46_4_0043.avi,11,54,10,583000,2
cb46fd46_4_0044.avi,11,56,10,646000,2
cb46fd46_4_0045.avi,11,58,11,779000,2
cb46fd46_4_0046.avi,12,0,10,913000,2
cb46fd46_4_0047.avi,12,2,11,13000,2
cb46fd46_4_0048.avi,12,4,11,147000,2
cb46fd46_4_0049.avi,12,6,12,211000,2
cb46fd46_4_0050.avi,12,8,10,344000,2
cb46fd46_4_0051.avi,12,10,10,477000,2
cb46fd46_4_0052.avi,12,12,10,576000,2
cb46fd46_4_0053.avi,12,14,10,711000,2
cb46fd46_4_0054.avi,12,16,10,811000,2
cb46fd46_4_0055.avi,12,18,10,909000,2
cb46fd46_4_0056.avi,12,20,11,9000,2
cb46fd46_4_0057.avi,12,22,11,142000,2
cb46fd46_4_0058.avi,12,24,11,276000,2
cb46fd46_4_0059.avi,12,26,10,375000,2
cb46fd46_4_0060.avi,12,28,10,472000,2
cb46fd46_4_0061.avi,12,30,11,606000,2
cb46fd46_4_0062.avi,12,32,10,706000,2
cb46fd46_4_0063.avi,12,34,10,840000,2
cb46fd46_4_0064.avi,12,36,12,4000,2
cb46fd46_4_0065.avi,12,38,11,137000,2
cb46fd46_4_0066.avi,12,40,11,202000,2
cb46fd46_4_0067.avi,12,42,10,334000,2
cb46fd46_4_0068.avi,12,44,10,402000,2
cb46fd46_4_0069.avi,12,46,10,502000,2
cb46fd46_4_0070.avi,12,48,11,635000,2
cb46fd46_4_0071.avi,12,50,10,767000,2
cb46fd46_4_0072.avi,12,52,10,900000,2
cb46fd46_4_0073.avi,12,54,11,34000,2
cb46fd46_4_0074.avi,12,56,13,134000,2
cb46fd46_4_0075.avi,12,58,10,267000,2
cb46fd46_4_0076.avi,13,0,10,367000,2
cb46fd46_4_0077.avi,13,2,10,464000,2
cb46fd46_4_0078.avi,13,4,10,598000,2
cb46fd46_4_0079.avi,13,6,14,698000,2
cb46fd46_4_0080.avi,13,8,11,831000,2
cb46fd46_4_0081.avi,13,10,10,931000,2
cb46fd46_4_0082.avi,13,12,12,27000,2
cb46fd46_4_0083.avi,13,14,11,162000,2
cb46fd46_4_0084.avi,13,16,11,262000,2
cb46fd46_4_0085.avi,13,18,10,395000,2
cb46fd46_4_0086.avi,13,20,11,495000,2
cb46fd46_4_0087.avi,13,22,12,628000,2
cb46fd46_4_0088.avi,13,24,10,726000,2
cb46fd46_4_0089.avi,13,26,10,825000,2
cb46fd46_4_0090.avi,13,28,11,958000,2
cb46fd46_4_0091.avi,13,30,10,126000,2
cb46fd46_4_0092.avi,13,32,10,259000,2
cb46fd46_4_0093.avi,13,34,10,358000,2
cb46fd46_4_0094.avi,13,36,10,458000,2
cb46fd46_4_0095.avi,13,38,11,592000,2
cb46fd46_4_0096.avi,13,40,10,691000,2
cb46fd46_4_0097.avi,13,42,10,824000,2
cb46fd46_4_0098.avi,13,44,10,912000,2
cb46fd46_4_0099.avi,13,46,10,22000,2
cb46fd46_4_0100.avi,13,48,10,156000,2
